2048-android,uberspot/2048-android
pOT-Droid,janoliver/pOT-Droid
prettygoodmusicplayer,smithdtyler/prettygoodmusicplayer
prevo,bpeel/prevo
prim-ftpd,wolpi/prim-ftpd
prism,andviane/prism
privacy-friendly-qr-scanner,SecUSo/privacy-friendly-qr-scanner
privacy-friendly-sudoku,SecUSo/privacy-friendly-sudoku
privacy-friendly-torchlight,SecUSo/privacy-friendly-torchlight
privacypolice,BramBonne/privacypolice
Quran-For-My-Android,frrahat/Quran-For-My-Android
RacketGhost,mrksbrg/RacketGhost
Recurrence,jonasbleyl/Recurrence
reddinator,micwallace/reddinator
ReGeX,phikal/ReGeX
remotekeyboard,onyxbits/remotekeyboard
retrobreaker,m45t3r/retrobreaker
rgb-tool,fasteque/rgb-tool
rpicheck,eidottermihi/rpicheck
satstat,mvglasow/satstat
save-for-offline,JonasCz/save-for-offline
screen-notifications,lkorth/screen-notifications
ScrollSocket,PowerInside/ScrollSocket
scrumchatter,caarmen/scrumchatter
sendreduced,arpruss/sendreduced
SendWithFtp,mtotschnig/SendWithFtp
Sensors2OSC,SensorApps/Sensors2OSC
Sensors2Pd,SensorApps/Sensors2Pd
SensorsSandbox,mustafa01ali/SensorsSandbox
Shaarlier,dimtion/Shaarlier
sharemyposition,sylvek/sharemyposition
shareviahttp,marcosdiez/shareviahttp
ShowsRage,MGaetan89/ShowsRage
Silverfish,stanipintjuk/Silverfish
SimpleBitcoinWidget,hwki/SimpleBitcoinWidget
Simple-Chess-Clock,eldarerathis/Simple-Chess-Clock
SimpleExplorer,DF1E/SimpleExplorer
sipswitch,robert7k/sipswitch
SmartGadget-Android,Sensirion/SmartGadget-Android
SMP,souch/SMP
soundboard,meonwax/soundboard
SoundRecorder,dkim0419/SoundRecorder
SparkleShare-Android,NewProggie/SparkleShare-Android
speech_trainer,wrr/speech_trainer
SpeedMeter,flyingrub/SpeedMeter
stardroid,sky-map-team/stardroid
SuntimesWidget,forrestguice/SuntimesWidget
Swiftnotes,adrianchifor/Swiftnotes
TimisoaraPublicTransport,MihaiBalint/TimisoaraPublicTransport
tinc_gui,Vilbrekin/tinc_gui
Tinfoil-Facebook,velazcod/Tinfoil-Facebook
toposuite-android,hgdev-ch/toposuite-android
traccar-client-android,tananaev/traccar-client-android
trackworktime,mathisdt/trackworktime
trezor-android,trezor/trezor-android
trickytripper,koelleChristian/trickytripper
tripmobile,TripSit/tripmobile
tuiodroid,TobiasSchwirten/tuiodroid
tuner,billthefarmer/tuner
TVHGuide,john-tornblom/TVHGuide
Twidere-Android,TwidereProject/Twidere-Android
uhabits,iSoron/uhabits
UnitConverterUltimate,physphil/UnitConverterUltimate
unix-time-clock-widget,lucasdnd/unix-time-clock-widget
upm-android,adrian/upm-android
vanilla-headphone-detector,vanilla-music/vanilla-headphone-detector
Vector-Pinball,dozingcat/Vector-Pinball
voipms-sms-client,michaelkourlas/voipms-sms-client
Wake-On-Lan,mafrosis/Wake-On-Lan
webTube,martykan/webTube
WhatsAppBetaUpdater,javiersantos/WhatsAppBetaUpdater
WhereYouGo,biylda/WhereYouGo
whohasmystuff,stovocor/whohasmystuff
WIFI_EAP_SIM_Conf,SLoeuillet/WIFI_EAP_SIM_Conf
Wifi-Fixer,Zanshinmu/Wifi-Fixer
wifireminders,glesik/wifireminders
wikipoff,conchyliculture/wikipoff
wpgen,glesik/wpgen
yubioath-android,Yubico/yubioath-android
